Model,F1,Recall,Precision,Accuracy
Random Forest,0.9502696498310457,0.9155978541446881,0.9877489077643109,0.9840985073279495
XGBoost Model,0.9497944213606333,0.9189468249870935,0.9828551795273286,0.9838761615803119
Decision Trees,0.9438175907628678,0.9176045431078987,0.9716449164570051,0.9818744315374813
Logistic Regression,0.26666666666666666,0.18072289156626506,0.5084745762711864,0.8348899266177452
